state_name,date_local,aqi_pm25
Illinois,2021-01-05,54.333333333333336
Iowa,2021-01-05,43.882352941176478
Louisiana,2021-01-05,38.5
Maine,2021-01-05,11.0
Michigan,2021-01-05,43.0
Montana,2021-01-05,28.0
New York,2021-01-05,37.349999999999994
North Carolina,2021-01-05,18.0
Ohio,2021-01-05,36.125
Oklahoma,2021-01-05,13.75
Oregon,2021-01-05,22.431818181818176
South Carolina,2021-01-05,32.8
Texas,2021-01-05,30.999999999999996
Virginia,2021-01-05,22.0
Washington,2021-01-05,16.666666666666668
Puerto Rico,2021-01-05,25.0
Alabama,2021-01-06,44.375
Alaska,2021-01-06,98.0
Arizona,2021-01-06,33.25
Arkansas,2021-01-06,25.25
California,2021-01-06,46.472222222222229
Colorado,2021-01-06,15.0
Florida,2021-01-06,37.608695652173914
Georgia,2021-01-06,29.0
Idaho,2021-01-06,27.333333333333336
Illinois,2021-01-06,67.666666666666671
Iowa,2021-01-06,62.941176470588239
Louisiana,2021-01-06,36.125
Maine,2021-01-06,19.0
Michigan,2021-01-06,41.0
Montana,2021-01-06,37.5
New York,2021-01-06,33.380952380952372
North Carolina,2021-01-06,16.0
Ohio,2021-01-06,31.625
Oklahoma,2021-01-06,15.5
Oregon,2021-01-06,22.18181818181818
South Carolina,2021-01-06,28.2
Texas,2021-01-06,25.000000000000004
Virginia,2021-01-06,23.0
Washington,2021-01-06,19.119047619047624
Puerto Rico,2021-01-06,23.0
Alabama,2021-01-07,32.6
Alaska,2021-01-07,54.777777777777779
Arizona,2021-01-07,22.875
Arkansas,2021-01-07,18.5
California,2021-01-07,33.788461538461547
Colorado,2021-01-07,8.454545454545455
Florida,2021-01-07,31.518518518518523
Georgia,2021-01-07,24.500000000000004
Idaho,2021-01-07,32.260869565217391
Illinois,2021-01-07,33.0
Iowa,2021-01-07,63.894736842105253
Louisiana,2021-01-07,15.0
Maine,2021-01-07,7.833333333333333
Michigan,2021-01-07,12.25
Montana,2021-01-07,14.5
New York,2021-01-07,27.75
North Carolina,2021-01-07,14.75
Ohio,2021-01-07,23.777777777777779
Oklahoma,2021-01-07,14.666666666666666
Oregon,2021-01-07,24.259999999999998
South Carolina,2021-01-07,24.6
Texas,2021-01-07,23.071428571428573
Virginia,2021-01-07,19.0
Washington,2021-01-07,21.26
Puerto Rico,2021-01-07,24.0
Vermont,2021-01-07,9.5
Country Of Mexico,2021-01-07,0.0
Connecticut,2021-01-07,5.0
Hawaii,2021-01-07,2.5
Kansas,2021-01-07,17.0
Kentucky,2021-01-07,15.0
Maryland,2021-01-07,17.0
Massachusetts,2021-01-07,12.0
Minnesota,2021-01-07,25.333333333333332
Missouri,2021-01-07,21.0
Nebraska,2021-01-07,22.0
Nevada,2021-01-07,2.5
New Hampshire,2021-01-07,9.0
New Jersey,2021-01-07,8.0
New Mexico,2021-01-07,6.4285714285714288
North Dakota,2021-01-07,16.5
Pennsylvania,2021-01-07,20.0
South Dakota,2021-01-07,8.0
Tennessee,2021-01-07,13.0
Utah,2021-01-07,14.4
West Virginia,2021-01-07,11.0
Wisconsin,2021-01-07,4.0
Wyoming,2021-01-07,3.25
Virgin Islands,2021-01-07,6.0
Alabama,2021-01-08,31.500000000000004
Alaska,2021-01-08,104.66666666666667
Arizona,2021-01-08,33.75
Arkansas,2021-01-08,27.0
California,2021-01-08,52.6111111111111
Colorado,2021-01-08,37.0
Florida,2021-01-08,26.65217391304348
Georgia,2021-01-08,16.8
Idaho,2021-01-08,34.333333333333329
Illinois,2021-01-08,32.2
Iowa,2021-01-08,52.411764705882348
Louisiana,2021-01-08,23.75
Maine,2021-01-08,13.0
Michigan,2021-01-08,21.5
Montana,2021-01-08,37.5
New York,2021-01-08,29.000000000000004
North Carolina,2021-01-08,23.0
Ohio,2021-01-08,23.125
Oklahoma,2021-01-08,30.0
Oregon,2021-01-08,30.181818181818187
South Carolina,2021-01-08,20.0
Texas,2021-01-08,29.545454545454543
Virginia,2021-01-08,12.0
Washington,2021-01-08,22.878048780487802
Puerto Rico,2021-01-08,22.0
Alabama,2021-01-09,36.625
Alaska,2021-01-09,105.66666666666667
Arizona,2021-01-09,38.0
Arkansas,2021-01-09,28.25
California,2021-01-09,45.722222222222236
Colorado,2021-01-09,27.0
Florida,2021-01-09,29.608695652173918
Georgia,2021-01-09,31.4
Idaho,2021-01-09,36.9047619047619
Illinois,2021-01-09,39.4
Iowa,2021-01-09,47.588235294117645
Louisiana,2021-01-09,35.000000000000007
Maine,2021-01-09,19.0
Michigan,2021-01-09,36.5
Montana,2021-01-09,39.75
New York,2021-01-09,30.761904761904756
North Carolina,2021-01-09,15.0
Ohio,2021-01-09,35.875
Oklahoma,2021-01-09,37.5
Oregon,2021-01-09,35.931818181818166
South Carolina,2021-01-09,24.25
Texas,2021-01-09,32.999999999999993
Virginia,2021-01-09,20.0
Washington,2021-01-09,26.195121951219519
Puerto Rico,2021-01-09,26.0
Alabama,2021-01-10,41.3
Alaska,2021-01-10,29.125000000000004
Arizona,2021-01-10,19.625
Arkansas,2021-01-10,38.0
California,2021-01-10,33.2777777777778
Colorado,2021-01-10,10.0
Florida,2021-01-10,36.55555555555555
Georgia,2021-01-10,34.75
Idaho,2021-01-10,28.478260869565219
Illinois,2021-01-10,50.666666666666664
Iowa,2021-01-10,54.263157894736835
Louisiana,2021-01-10,35.444444444444443
Maine,2021-01-10,10.333333333333332
Michigan,2021-01-10,34.5
Montana,2021-01-10,15.571428571428571
New York,2021-01-10,38.476190476190482
North Carolina,2021-01-10,11.25
Ohio,2021-01-10,58.0
Oklahoma,2021-01-10,51.166666666666664
Oregon,2021-01-10,29.78
South Carolina,2021-01-10,28.8
Texas,2021-01-10,22.200000000000003
Virginia,2021-01-10,16.666666666666664
Washington,2021-01-10,23.17307692307692
Puerto Rico,2021-01-10,34.0
Vermont,2021-01-10,13.25
Country Of Mexico,2021-01-10,0.0
Connecticut,2021-01-10,10.0
Hawaii,2021-01-10,3.0
Kansas,2021-01-10,23.5
Kentucky,2021-01-10,36.0
Maryland,2021-01-10,25.0
Massachusetts,2021-01-10,10.0
Minnesota,2021-01-10,30.666666666666664
Missouri,2021-01-10,42.0
Nebraska,2021-01-10,5.0
Nevada,2021-01-10,3.5
New Hampshire,2021-01-10,8.6666666666666661
New Jersey,2021-01-10,15.0
New Mexico,2021-01-10,10.428571428571429
North Dakota,2021-01-10,13.0
Pennsylvania,2021-01-10,54.0
South Dakota,2021-01-10,5.0
Tennessee,2021-01-10,19.0
Utah,2021-01-10,19.4
West Virginia,2021-01-10,19.0
Wisconsin,2021-01-10,8.0
Wyoming,2021-01-10,4.25
Virgin Islands,2021-01-10,15.0
Alabama,2021-01-11,44.625
Alaska,2021-01-11,67.666666666666671
Arizona,2021-01-11,18.75
Arkansas,2021-01-11,41.25
California,2021-01-11,40.885714285714286
Colorado,2021-01-11,27.0
Florida,2021-01-11,38.913043478260875
Georgia,2021-01-11,43.2
Idaho,2021-01-11,32.571428571428569
Illinois,2021-01-11,50.0
