state_name,date_local,aqi_pm10
California,2021-01-01,14.55913978494624
Arkansas,2021-01-01,3.0
Iowa,2021-01-01,16.999999999999996
Vermont,2021-01-01,3.0
Alabama,2021-01-01,9.5
District Of Columbia,2021-01-01,13.0
Hawaii,2021-01-01,11.666666666666666
Michigan,2021-01-01,16.5
Missouri,2021-01-01,6.7
Montana,2021-01-01,13.166666666666668
Nebraska,2021-01-01,15.5
Nevada,2021-01-01,10.75
New Mexico,2021-01-01,23.333333333333336
North Carolina,2021-01-01,5.6666666666666661
Pennsylvania,2021-01-01,7.90909090909091
South Carolina,2021-01-01,13.0
Colorado,2021-01-01,13.25
Wyoming,2021-01-01,6.9027777777777786
New Jersey,2021-01-01,12.0
Oregon,2021-01-01,7.333333333333333
Georgia,2021-01-01,12.0
Idaho,2021-01-01,16.6
Kansas,2021-01-01,8.11111111111111
Kentucky,2021-01-01,6.0
Minnesota,2021-01-01,17.4
North Dakota,2021-01-01,3.25
South Dakota,2021-01-01,11.555555555555555
Tennessee,2021-01-01,7.0
Puerto Rico,2021-01-01,18.0
Alaska,2021-01-01,36.142857142857139
Maine,2021-01-01,14.75
Connecticut,2021-01-01,10.1
Indiana,2021-01-01,7.6
Maryland,2021-01-01,6.0
Oklahoma,2021-01-01,4.333333333333333
Rhode Island,2021-01-01,12.0
Utah,2021-01-01,18.666666666666668
Washington,2021-01-01,14.5
Arizona,2021-01-01,36.999999999999993
Florida,2021-01-01,19.300000000000004
Illinois,2021-01-01,26.0
Louisiana,2021-01-01,10.6
Mississippi,2021-01-01,9.0
New Hampshire,2021-01-01,13.0
Ohio,2021-01-01,6.5
Virginia,2021-01-01,10.5
West Virginia,2021-01-01,6.0
Wisconsin,2021-01-01,22.857142857142858
California,2021-01-02,16.40697674418605
Iowa,2021-01-02,20.666666666666668
Arizona,2021-01-02,26.13461538461539
Connecticut,2021-01-02,5.333333333333333
Hawaii,2021-01-02,9.0
Idaho,2021-01-02,6.8
Indiana,2021-01-02,6.5
Louisiana,2021-01-02,8.75
